icg_id,modeldb_id,suffix,ion_class,icg_ref_id,authors,title,year,pubmedid,citation_count
38,105385,cap_gp,Ca,3,"Mercer JN, Chan CS, Tkatch T, Held J, Surmeier DJ",Nav1.6 sodium channels are critical to pacemaking and fast spiking in globus pallidus neurons.,2007,18057213,74
60,106551,hd,IH,5,"Cassara AM, Maraviglia B",Microscopic investigation of the resonant mechanism for the implementation of nc-MRI at ultra-low field MRI.,2008,18474435,20
61,106551,kad,K,5,"Cassara AM, Maraviglia B",Microscopic investigation of the resonant mechanism for the implementation of nc-MRI at ultra-low field MRI.,2008,18474435,20
62,106551,kap,K,5,"Cassara AM, Maraviglia B",Microscopic investigation of the resonant mechanism for the implementation of nc-MRI at ultra-low field MRI.,2008,18474435,20
63,106551,kdr,K,5,"Cassara AM, Maraviglia B",Microscopic investigation of the resonant mechanism for the implementation of nc-MRI at ultra-low field MRI.,2008,18474435,20
65,106551,nax,Na,5,"Cassara AM, Maraviglia B",Microscopic investigation of the resonant mechanism for the implementation of nc-MRI at ultra-low field MRI.,2008,18474435,20
73,108458,ca,Ca,398,"Kampa BM, Stuart GJ",Calcium spikes in basal dendrites of layer 5 pyramidal neurons during action potential bursts.,2006,16837590,78
74,108458,it,Ca,398,"Kampa BM, Stuart GJ",Calcium spikes in basal dendrites of layer 5 pyramidal neurons during action potential bursts.,2006,16837590,78
76,108458,ka,K,398,"Kampa BM, Stuart GJ",Calcium spikes in basal dendrites of layer 5 pyramidal neurons during action potential bursts.,2006,16837590,78
77,108458,kv,K,398,"Kampa BM, Stuart GJ",Calcium spikes in basal dendrites of layer 5 pyramidal neurons during action potential bursts.,2006,16837590,78
78,108458,na,Na,398,"Kampa BM, Stuart GJ",Calcium spikes in basal dendrites of layer 5 pyramidal neurons during action potential bursts.,2006,16837590,78
80,108459,ca,Ca,7,"Letzkus JJ, Kampa BM, Stuart GJ",Learning rules for spike timing-dependent plasticity depend on dendritic synapse location.,2006,17035526,178
83,108459,ih,IH,7,"Letzkus JJ, Kampa BM, Stuart GJ",Learning rules for spike timing-dependent plasticity depend on dendritic synapse location.,2006,17035526,178
84,108459,it2,Ca,7,"Letzkus JJ, Kampa BM, Stuart GJ",Learning rules for spike timing-dependent plasticity depend on dendritic synapse location.,2006,17035526,178
85,108459,kap,K,7,"Letzkus JJ, Kampa BM, Stuart GJ",Learning rules for spike timing-dependent plasticity depend on dendritic synapse location.,2006,17035526,178
87,108459,km,K,7,"Letzkus JJ, Kampa BM, Stuart GJ",Learning rules for spike timing-dependent plasticity depend on dendritic synapse location.,2006,17035526,178
88,108459,kv,K,7,"Letzkus JJ, Kampa BM, Stuart GJ",Learning rules for spike timing-dependent plasticity depend on dendritic synapse location.,2006,17035526,178
89,108459,na,Na,7,"Letzkus JJ, Kampa BM, Stuart GJ",Learning rules for spike timing-dependent plasticity depend on dendritic synapse location.,2006,17035526,178
91,110560,Calcium,Ca,8,"Bar-Yehuda D, Korngreen A",Space-clamp problems when voltage clamping neurons expressing voltage-gated conductances.,2008,18184885,67
92,110560,Potassium,K,8,"Bar-Yehuda D, Korngreen A",Space-clamp problems when voltage clamping neurons expressing voltage-gated conductances.,2008,18184885,67
94,112359,hd,IH,9,"Migliore M, Cannia C, Canavier CC",A modeling study suggesting a possible pharmacological target to mitigate the effects of ethanol on reward-related dopaminergic signaling.,2008,18353916,13
108,112546,cagk,KCa,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
109,112546,cal,Ca,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
110,112546,can,Ca,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
111,112546,cat,Ca,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
112,112546,hd,IH,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
113,112546,kad,K,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
114,112546,kap,K,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
115,112546,kdr,K,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
116,112546,km,K,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
118,112546,nax,Na,10,"Shah MM, Migliore M, Valencia I, Cooper EC, Brown DA",Functional significance of axonal Kv7 channels in hippocampal pyramidal neurons.,2008,18515424,136
119,112685,Golgi_BK,KCa,12,"Solinas S, Forti L, Cesana E, Mapelli J, De Schutter E, D'Angelo E",Computational reconstruction of pacemaking and intrinsic electroresponsiveness in cerebellar Golgi cells.,2007,18946520,74
122,112685,Golgi_Ca_HVA,Ca,12,"Solinas S, Forti L, Cesana E, Mapelli J, De Schutter E, D'Angelo E",Computational reconstruction of pacemaking and intrinsic electroresponsiveness in cerebellar Golgi cells.,2007,18946520,74
125,112685,Golgi_KM,K,12,"Solinas S, Forti L, Cesana E, Mapelli J, De Schutter E, D'Angelo E",Computational reconstruction of pacemaking and intrinsic electroresponsiveness in cerebellar Golgi cells.,2007,18946520,74
126,112685,Golgi_KV,K,12,"Solinas S, Forti L, Cesana E, Mapelli J, De Schutter E, D'Angelo E",Computational reconstruction of pacemaking and intrinsic electroresponsiveness in cerebellar Golgi cells.,2007,18946520,74
127,112685,Golgi_Na,Na,12,"Solinas S, Forti L, Cesana E, Mapelli J, De Schutter E, D'Angelo E",Computational reconstruction of pacemaking and intrinsic electroresponsiveness in cerebellar Golgi cells.,2007,18946520,74
128,112685,Golgi_NaP,Na,12,"Solinas S, Forti L, Cesana E, Mapelli J, De Schutter E, D'Angelo E",Computational reconstruction of pacemaking and intrinsic electroresponsiveness in cerebellar Golgi cells.,2007,18946520,74
129,112685,Golgi_NaR,Na,12,"Solinas S, Forti L, Cesana E, Mapelli J, De Schutter E, D'Angelo E",Computational reconstruction of pacemaking and intrinsic electroresponsiveness in cerebellar Golgi cells.,2007,18946520,74
149,112834,kas,K,13,"Wolf JA, Moyer JT, Lazarewicz MT, Contreras D, Benoit-Marand M, O'Donnell P, Finkel LH",NMDA/AMPA ratio impacts state transitions and entrainment to oscillations in a computational model of the nucleus accumbens medium spiny projection neuron.,2005,16207867,131
154,112834,skkca,KCa,13,"Wolf JA, Moyer JT, Lazarewicz MT, Contreras D, Benoit-Marand M, O'Donnell P, Finkel LH",NMDA/AMPA ratio impacts state transitions and entrainment to oscillations in a computational model of the nucleus accumbens medium spiny projection neuron.,2005,16207867,131
157,113446,cal,Ca,14,"Somjen GG, Kager H, Wadman WJ",Computer simulations of neuron-glia interactions mediated by ion flux.,2008,18297383,72
162,113446,cat,Ca,14,"Somjen GG, Kager H, Wadman WJ",Computer simulations of neuron-glia interactions mediated by ion flux.,2008,18297383,72
177,113732,ar,IH,15,"Jones SR, Pritchett DL, Stufflebeam SM, Hamalainen M, Moore CI",Neural correlates of tactile detection: a combined magnetoencephalography and biophysically based computational modeling study.,2007,17913909,83
178,113732,ca,Ca,15,"Jones SR, Pritchett DL, Stufflebeam SM, Hamalainen M, Moore CI",Neural correlates of tactile detection: a combined magnetoencephalography and biophysically based computational modeling study.,2007,17913909,83
180,113732,cat,Ca,15,"Jones SR, Pritchett DL, Stufflebeam SM, Hamalainen M, Moore CI",Neural correlates of tactile detection: a combined magnetoencephalography and biophysically based computational modeling study.,2007,17913909,83
181,113732,catp,Ca,15,"Jones SR, Pritchett DL, Stufflebeam SM, Hamalainen M, Moore CI",Neural correlates of tactile detection: a combined magnetoencephalography and biophysically based computational modeling study.,2007,17913909,83
185,113732,h,IH,15,"Jones SR, Pritchett DL, Stufflebeam SM, Hamalainen M, Moore CI",Neural correlates of tactile detection: a combined magnetoencephalography and biophysically based computational modeling study.,2007,17913909,83
188,113732,km,K,15,"Jones SR, Pritchett DL, Stufflebeam SM, Hamalainen M, Moore CI",Neural correlates of tactile detection: a combined magnetoencephalography and biophysically based computational modeling study.,2007,17913909,83
196,113997,hh3,K,16,"Winograd M, Destexhe A, Sanchez-Vives MV",Hyperpolarization-activated graded persistent activity in the prefrontal cortex.,2008,18474856,50
198,113997,im,K,16,"Winograd M, Destexhe A, Sanchez-Vives MV",Hyperpolarization-activated graded persistent activity in the prefrontal cortex.,2008,18474856,50
203,114047,HH,K,17,"Saraga F, Ng L, Skinner FK",Distal gap junctions and active dendrites can tune network dynamics.,2006,16339003,40
204,114355,hd_G,IH,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
205,114355,kad_G,K,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
206,114355,kap_G,K,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
207,114355,kdr_G,K,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
209,114355,nax_G,Na,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
210,114355,hd_M,IH,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
211,114355,kad_M,K,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
212,114355,kap_M,K,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
213,114355,kdr_M,K,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
215,114355,nax_M,Na,20,"Rabinowitch I, Segev I",Two opposing plasticity mechanisms pulling a single synapse.,2008,18602704,62
224,114359,ca,Ca,21,"van Elburg RA, van Ooyen A",Impact of dendritic size and dendritic topology on burst firing in pyramidal cells.,2010,20485556,62
227,114359,km,K,21,"van Elburg RA, van Ooyen A",Impact of dendritic size and dendritic topology on burst firing in pyramidal cells.,2010,20485556,62
228,114359,kv,K,21,"van Elburg RA, van Ooyen A",Impact of dendritic size and dendritic topology on burst firing in pyramidal cells.,2010,20485556,62
229,114359,na,Na,21,"van Elburg RA, van Ooyen A",Impact of dendritic size and dendritic topology on burst firing in pyramidal cells.,2010,20485556,62
230,114394,Km,K,22,"Kole MH, Ilschner SU, Kampa BM, Williams SR, Ruben PC, Stuart GJ",Action potential generation requires a high sodium channel density in the axon initial segment.,2008,18204443,338
231,114394,Kv1,K,22,"Kole MH, Ilschner SU, Kampa BM, Williams SR, Ruben PC, Stuart GJ",Action potential generation requires a high sodium channel density in the axon initial segment.,2008,18204443,338
232,114394,ih,IH,22,"Kole MH, Ilschner SU, Kampa BM, Williams SR, Ruben PC, Stuart GJ",Action potential generation requires a high sodium channel density in the axon initial segment.,2008,18204443,338
233,114394,Kv,K,22,"Kole MH, Ilschner SU, Kampa BM, Williams SR, Ruben PC, Stuart GJ",Action potential generation requires a high sodium channel density in the axon initial segment.,2008,18204443,338
234,114394,na,Na,22,"Kole MH, Ilschner SU, Kampa BM, Williams SR, Ruben PC, Stuart GJ",Action potential generation requires a high sodium channel density in the axon initial segment.,2008,18204443,338
235,114394,nax,Na,22,"Kole MH, Ilschner SU, Kampa BM, Williams SR, Ruben PC, Stuart GJ",Action potential generation requires a high sodium channel density in the axon initial segment.,2008,18204443,338
236,114665,kamt,K,23,"Migliore M, Inzirillo C, Shepherd GM",Learning mechanism for column formation in the olfactory bulb.,2007,18958240,15
237,114665,kdrmt,K,23,"Migliore M, Inzirillo C, Shepherd GM",Learning mechanism for column formation in the olfactory bulb.,2007,18958240,15
238,114665,nax,Na,23,"Migliore M, Inzirillo C, Shepherd GM",Learning mechanism for column formation in the olfactory bulb.,2007,18958240,15
247,114685,parak75,K,24,"Johnson MD, McIntyre CC",Quantifying the neural elements activated and inhibited by globus pallidus deep brain stimulation.,2008,18768645,56
260,115356,KCT,KCa,26,"Royeck M, Horstmann MT, Remy S, Reitze M, Yaari Y, Beck H",Role of axonal NaV1.6 sodium channels in action potential initiation of CA1 pyramidal neurons.,2008,18650312,96
261,115356,naIn,Na,26,"Royeck M, Horstmann MT, Remy S, Reitze M, Yaari Y, Beck H",Role of axonal NaV1.6 sodium channels in action potential initiation of CA1 pyramidal neurons.,2008,18650312,96
263,115356,hd,IH,26,"Royeck M, Horstmann MT, Remy S, Reitze M, Yaari Y, Beck H",Role of axonal NaV1.6 sodium channels in action potential initiation of CA1 pyramidal neurons.,2008,18650312,96
264,115356,kaG,K,26,"Royeck M, Horstmann MT, Remy S, Reitze M, Yaari Y, Beck H",Role of axonal NaV1.6 sodium channels in action potential initiation of CA1 pyramidal neurons.,2008,18650312,96
265,115356,kdrG,K,26,"Royeck M, Horstmann MT, Remy S, Reitze M, Yaari Y, Beck H",Role of axonal NaV1.6 sodium channels in action potential initiation of CA1 pyramidal neurons.,2008,18650312,96
266,115356,KM,K,26,"Royeck M, Horstmann MT, Remy S, Reitze M, Yaari Y, Beck H",Role of axonal NaV1.6 sodium channels in action potential initiation of CA1 pyramidal neurons.,2008,18650312,96
268,115356,naxMig,Na,26,"Royeck M, Horstmann MT, Remy S, Reitze M, Yaari Y, Beck H",Role of axonal NaV1.6 sodium channels in action potential initiation of CA1 pyramidal neurons.,2008,18650312,96
275,116094,kA,K,28,"David F, Linster C, Cleland TA",Lateral dendritic shunt inhibition can regularize mitral cell spike patterning.,2008,18060489,25
276,116094,kM,K,28,"David F, Linster C, Cleland TA",Lateral dendritic shunt inhibition can regularize mitral cell spike patterning.,2008,18060489,25
277,116094,kca,KCa,28,"David F, Linster C, Cleland TA",Lateral dendritic shunt inhibition can regularize mitral cell spike patterning.,2008,18060489,25
280,116094,lcafixed,Ca,28,"David F, Linster C, Cleland TA",Lateral dendritic shunt inhibition can regularize mitral cell spike patterning.,2008,18060489,25
281,116094,nafast,Na,28,"David F, Linster C, Cleland TA",Lateral dendritic shunt inhibition can regularize mitral cell spike patterning.,2008,18060489,25
287,116096,ca,Ca,29,"Badoual M, Zou Q, Davison AP, Rudolph M, Bal T, Fregnac Y, Destexhe A",Biophysical and phenomenological models of multiple spike interactions in spike-timing dependent plasticity.,2006,16688849,45
291,116096,km,K,29,"Badoual M, Zou Q, Davison AP, Rudolph M, Bal T, Fregnac Y, Destexhe A",Biophysical and phenomenological models of multiple spike interactions in spike-timing dependent plasticity.,2006,16688849,45
292,116096,kv,K,29,"Badoual M, Zou Q, Davison AP, Rudolph M, Bal T, Fregnac Y, Destexhe A",Biophysical and phenomenological models of multiple spike interactions in spike-timing dependent plasticity.,2006,16688849,45
294,116096,na,Na,29,"Badoual M, Zou Q, Davison AP, Rudolph M, Bal T, Fregnac Y, Destexhe A",Biophysical and phenomenological models of multiple spike interactions in spike-timing dependent plasticity.,2006,16688849,45
309,116835,GRC_CA,Ca,33,"Diwakar S, Magistretti J, Goldfarb M, Naldi G, D'Angelo E",Axonal Na+ channels ensure fast spike activation and back-propagation in cerebellar granule cells.,2009,19073816,72
312,116835,GRC_KA,K,33,"Diwakar S, Magistretti J, Goldfarb M, Naldi G, D'Angelo E",Axonal Na+ channels ensure fast spike activation and back-propagation in cerebellar granule cells.,2009,19073816,72
313,116835,GRC_KCA,KCa,33,"Diwakar S, Magistretti J, Goldfarb M, Naldi G, D'Angelo E",Axonal Na+ channels ensure fast spike activation and back-propagation in cerebellar granule cells.,2009,19073816,72
314,116835,GRC_KIR,K,33,"Diwakar S, Magistretti J, Goldfarb M, Naldi G, D'Angelo E",Axonal Na+ channels ensure fast spike activation and back-propagation in cerebellar granule cells.,2009,19073816,72
315,116835,GRC_KM,K,33,"Diwakar S, Magistretti J, Goldfarb M, Naldi G, D'Angelo E",Axonal Na+ channels ensure fast spike activation and back-propagation in cerebellar granule cells.,2009,19073816,72
316,116835,GRC_KV,K,33,"Diwakar S, Magistretti J, Goldfarb M, Naldi G, D'Angelo E",Axonal Na+ channels ensure fast spike activation and back-propagation in cerebellar granule cells.,2009,19073816,72
330,116862,hh2ad,K,35,"Zhu JJ, Uhlrich DJ, Lytton WW",Burst firing in identified rat geniculate interneurons.,1999,10391450,59
333,116862,ittc,Ca,35,"Zhu JJ, Uhlrich DJ, Lytton WW",Burst firing in identified rat geniculate interneurons.,1999,10391450,59
334,116862,it2,Ca,35,"Zhu JJ, Uhlrich DJ, Lytton WW",Burst firing in identified rat geniculate interneurons.,1999,10391450,59
348,116862,iar,IH,35,"Zhu JJ, Uhlrich DJ, Lytton WW",Burst firing in identified rat geniculate interneurons.,1999,10391450,59
354,116956,emdk,K,37,"Borst A, Haag J",The intrinsic electrophysiological characteristics of fly lobula plate tangential cells: I. Passive membrane properties.,1996,9001975,100
356,116956,emdna,Na,37,"Borst A, Haag J",The intrinsic electrophysiological characteristics of fly lobula plate tangential cells: I. Passive membrane properties.,1996,9001975,100
359,117207,it,Ca,41,"Acker CD, Antic SD",Quantitative assessment of the distributions of membrane conductances involved in action potential backpropagation along basal dendrites.,2009,19118105,37
361,117207,kl,K,41,"Acker CD, Antic SD",Quantitative assessment of the distributions of membrane conductances involved in action potential backpropagation along basal dendrites.,2009,19118105,37
363,117207,ca,Ca,41,"Acker CD, Antic SD",Quantitative assessment of the distributions of membrane conductances involved in action potential backpropagation along basal dendrites.,2009,19118105,37
364,117207,kad,K,41,"Acker CD, Antic SD",Quantitative assessment of the distributions of membrane conductances involved in action potential backpropagation along basal dendrites.,2009,19118105,37
365,117207,kap,K,41,"Acker CD, Antic SD",Quantitative assessment of the distributions of membrane conductances involved in action potential backpropagation along basal dendrites.,2009,19118105,37
366,117207,kv,K,41,"Acker CD, Antic SD",Quantitative assessment of the distributions of membrane conductances involved in action potential backpropagation along basal dendrites.,2009,19118105,37
367,117207,na,Na,41,"Acker CD, Antic SD",Quantitative assessment of the distributions of membrane conductances involved in action potential backpropagation along basal dendrites.,2009,19118105,37
369,117459,hh2,K,42,"Cruz GE, Sahley CL, Muller KJ",Neuronal competition for action potential initiation sites in a circuit controlling simple learning.,2007,17644266,2
380,118986,cat,Ca,46,"Miceli F, Soldovieri MV, Lugli L, Bellini G, Ambrosino P, Migliore M, del Giudice EM, Ferrari F, Pascotto A, Taglialatela M","Neutralization of a unique, negatively-charged residue in the voltage sensor of K V 7.2 subunits in a sporadic case of benign familial neonatal seizures.",2009,19344764,24
381,118986,hd,IH,46,"Miceli F, Soldovieri MV, Lugli L, Bellini G, Ambrosino P, Migliore M, del Giudice EM, Ferrari F, Pascotto A, Taglialatela M","Neutralization of a unique, negatively-charged residue in the voltage sensor of K V 7.2 subunits in a sporadic case of benign familial neonatal seizures.",2009,19344764,24
382,118986,kad,K,46,"Miceli F, Soldovieri MV, Lugli L, Bellini G, Ambrosino P, Migliore M, del Giudice EM, Ferrari F, Pascotto A, Taglialatela M","Neutralization of a unique, negatively-charged residue in the voltage sensor of K V 7.2 subunits in a sporadic case of benign familial neonatal seizures.",2009,19344764,24
383,118986,kap,K,46,"Miceli F, Soldovieri MV, Lugli L, Bellini G, Ambrosino P, Migliore M, del Giudice EM, Ferrari F, Pascotto A, Taglialatela M","Neutralization of a unique, negatively-charged residue in the voltage sensor of K V 7.2 subunits in a sporadic case of benign familial neonatal seizures.",2009,19344764,24
384,118986,kdr,K,46,"Miceli F, Soldovieri MV, Lugli L, Bellini G, Ambrosino P, Migliore M, del Giudice EM, Ferrari F, Pascotto A, Taglialatela M","Neutralization of a unique, negatively-charged residue in the voltage sensor of K V 7.2 subunits in a sporadic case of benign familial neonatal seizures.",2009,19344764,24
385,118986,kmtquad,K,46,"Miceli F, Soldovieri MV, Lugli L, Bellini G, Ambrosino P, Migliore M, del Giudice EM, Ferrari F, Pascotto A, Taglialatela M","Neutralization of a unique, negatively-charged residue in the voltage sensor of K V 7.2 subunits in a sporadic case of benign familial neonatal seizures.",2009,19344764,24
388,118986,nax,Na,46,"Miceli F, Soldovieri MV, Lugli L, Bellini G, Ambrosino P, Migliore M, del Giudice EM, Ferrari F, Pascotto A, Taglialatela M","Neutralization of a unique, negatively-charged residue in the voltage sensor of K V 7.2 subunits in a sporadic case of benign familial neonatal seizures.",2009,19344764,24
389,119266,kdBG,K,397,"Markaki M, Orphanoudakis S, Poirazi P",Modelling reduced excitability in aged CA1 neurons as a calcium-dependent process,2005,None,14
395,119266,car,Ca,397,"Markaki M, Orphanoudakis S, Poirazi P",Modelling reduced excitability in aged CA1 neurons as a calcium-dependent process,2005,None,14
396,119266,cat,Ca,397,"Markaki M, Orphanoudakis S, Poirazi P",Modelling reduced excitability in aged CA1 neurons as a calcium-dependent process,2005,None,14
398,119266,h,IH,397,"Markaki M, Orphanoudakis S, Poirazi P",Modelling reduced excitability in aged CA1 neurons as a calcium-dependent process,2005,None,14
402,119266,kad,K,397,"Markaki M, Orphanoudakis S, Poirazi P",Modelling reduced excitability in aged CA1 neurons as a calcium-dependent process,2005,None,14
403,119266,kap,K,397,"Markaki M, Orphanoudakis S, Poirazi P",Modelling reduced excitability in aged CA1 neurons as a calcium-dependent process,2005,None,14
404,119266,mykca,KCa,397,"Markaki M, Orphanoudakis S, Poirazi P",Modelling reduced excitability in aged CA1 neurons as a calcium-dependent process,2005,None,14
405,119266,km,K,397,"Markaki M, Orphanoudakis S, Poirazi P",Modelling reduced excitability in aged CA1 neurons as a calcium-dependent process,2005,None,14
408,119283,hd,IH,47,"Ferrante M, Blackwell KT, Migliore M, Ascoli GA",Computational models of neuronal biophysics and the characterization of potential neuropharmacological targets.,2008,18855673,18
409,119283,kad,K,47,"Ferrante M, Blackwell KT, Migliore M, Ascoli GA",Computational models of neuronal biophysics and the characterization of potential neuropharmacological targets.,2008,18855673,18
410,119283,kap,K,47,"Ferrante M, Blackwell KT, Migliore M, Ascoli GA",Computational models of neuronal biophysics and the characterization of potential neuropharmacological targets.,2008,18855673,18
411,119283,kdr,K,47,"Ferrante M, Blackwell KT, Migliore M, Ascoli GA",Computational models of neuronal biophysics and the characterization of potential neuropharmacological targets.,2008,18855673,18
413,119283,nax,Na,47,"Ferrante M, Blackwell KT, Migliore M, Ascoli GA",Computational models of neuronal biophysics and the characterization of potential neuropharmacological targets.,2008,18855673,18
419,120910,cachdend,Ca,50,"Vazquez Y, Mendez B, Trueta C, De-Miguel FF",Summation of excitatory postsynaptic potentials in electrically-coupled neurones.,2009,19501633,4
422,120910,kadend,K,50,"Vazquez Y, Mendez B, Trueta C, De-Miguel FF",Summation of excitatory postsynaptic potentials in electrically-coupled neurones.,2009,19501633,4
